decile,n,reorder_rate,share,base_rate,lift,positives,cum_pos_capture
9,90886,0.9490680632880751,0.09999988997217396,0.5932172246361105,1.599865991534972,86257.0,0.15998642312372022
8,90886,0.9010628699689721,0.09999988997217396,0.5932172246361105,1.5189425265284557,81894.0,0.3118805086506217
7,90886,0.8405474990647624,0.09999988997217396,0.5932172246361105,1.4169303657363768,76394.0,0.45357338932249164
6,90886,0.7701516185111018,0.09999988997217396,0.5932172246361105,1.2982624012367914,69996.0,0.5833994866011811
5,90886,0.6932090751050767,0.09999988997217396,0.5932172246361105,1.1685585757060626,63003.0,0.7002552155978277
4,90886,0.600994652641771,0.09999988997217396,0.5932172246361105,1.013110590324533,54622.0,0.8015661631599252
3,90886,0.5001100279470986,0.09999988997217396,0.5932172246361105,0.8430470444513383,45453.0,0.8858707748464255
2,90886,0.376801707633739,0.09999988997217396,0.5932172246361105,0.6351833560882787,34246.0,0.9493890405674096
1,90886,0.23093765816517395,0.09999988997217396,0.5932172246361105,0.3892969532481715,20989.0,0.9883186930587292
0,90887,0.06929483864579093,0.10000099025043434,0.5932172246361105,0.11681191268223468,6298.0,1.0
